date,jobcountry,indeed_job_postings_index,variable,display_name
2020-04-04,US,77.97,total postings,Data & Analytics
2020-04-04,US,49.48,new postings,Data & Analytics
2020-04-05,US,76.96,total postings,Data & Analytics
2020-04-05,US,50.04,new postings,Data & Analytics
2020-04-06,US,75.8,total postings,Data & Analytics
2020-04-06,US,49.4,new postings,Data & Analytics
2020-04-07,US,74.53,total postings,Data & Analytics
2020-04-07,US,48.55,new postings,Data & Analytics
2020-04-08,US,73.52,total postings,Data & Analytics
2020-04-08,US,48.08,new postings,Data & Analytics
2020-04-09,US,72.44,total postings,Data & Analytics
2020-04-09,US,47.59,new postings,Data & Analytics
2020-04-10,US,71.54,total postings,Data & Analytics
2020-04-10,US,47.32,new postings,Data & Analytics
2020-04-11,US,70.96,total postings,Data & Analytics
2020-04-11,US,47.1,new postings,Data & Analytics
2020-04-12,US,70.32,total postings,Data & Analytics
2020-04-12,US,46.85,new postings,Data & Analytics
2020-04-13,US,69.9,total postings,Data & Analytics
2020-04-13,US,47.4,new postings,Data & Analytics
2020-04-14,US,69.57,total postings,Data & Analytics
2020-04-14,US,47.63,new postings,Data & Analytics
2020-04-15,US,69.12,total postings,Data & Analytics
2020-04-15,US,47.08,new postings,Data & Analytics
2020-04-16,US,68.68,total postings,Data & Analytics
2020-04-16,US,46.36,new postings,Data & Analytics
2020-04-17,US,68.15,total postings,Data & Analytics
2020-04-17,US,45.47,new postings,Data & Analytics
2020-04-18,US,67.57,total postings,Data & Analytics
2020-04-18,US,44.63,new postings,Data & Analytics
2020-04-19,US,66.94,total postings,Data & Analytics
2020-04-19,US,43.86,new postings,Data & Analytics
2020-04-20,US,66.38,total postings,Data & Analytics
2020-04-20,US,43.11,new postings,Data & Analytics
2020-04-21,US,65.96,total postings,Data & Analytics
2020-04-21,US,43.43,new postings,Data & Analytics
2020-04-22,US,65.42,total postings,Data & Analytics
2020-04-22,US,43.94,new postings,Data & Analytics
2020-04-23,US,65.0,total postings,Data & Analytics
2020-04-23,US,44.85,new postings,Data & Analytics
2020-04-24,US,64.5,total postings,Data & Analytics
2020-04-24,US,45.97,new postings,Data & Analytics
2020-04-25,US,63.99,total postings,Data & Analytics
2020-04-25,US,46.93,new postings,Data & Analytics
2020-04-26,US,63.61,total postings,Data & Analytics
2020-04-26,US,48.0,new postings,Data & Analytics
2020-04-27,US,63.14,total postings,Data & Analytics
2020-04-27,US,49.12,new postings,Data & Analytics
2020-04-28,US,62.62,total postings,Data & Analytics
2020-04-28,US,49.43,new postings,Data & Analytics
2020-04-29,US,62.22,total postings,Data & Analytics
2020-04-29,US,50.21,new postings,Data & Analytics
2020-04-30,US,61.83,total postings,Data & Analytics
2020-04-30,US,51.02,new postings,Data & Analytics
2020-05-01,US,61.54,total postings,Data & Analytics
2020-05-01,US,51.11,new postings,Data & Analytics
2020-05-02,US,61.2,total postings,Data & Analytics
2020-05-02,US,50.6,new postings,Data & Analytics
2020-05-03,US,60.75,total postings,Data & Analytics
2020-05-03,US,49.45,new postings,Data & Analytics
2020-05-04,US,60.36,total postings,Data & Analytics
2020-05-04,US,48.66,new postings,Data & Analytics
2020-05-05,US,60.03,total postings,Data & Analytics
