date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,FR,100.0,total postings,"IT Infrastructure, Operations & Support"
2020-02-01,FR,100.0,new postings,"IT Infrastructure, Operations & Support"
2020-02-02,FR,100.04,total postings,"IT Infrastructure, Operations & Support"
2020-02-02,FR,100.83,new postings,"IT Infrastructure, Operations & Support"
2020-02-03,FR,100.14,total postings,"IT Infrastructure, Operations & Support"
2020-02-03,FR,101.31,new postings,"IT Infrastructure, Operations & Support"
2020-02-04,FR,100.07,total postings,"IT Infrastructure, Operations & Support"
2020-02-04,FR,101.31,new postings,"IT Infrastructure, Operations & Support"
2020-02-05,FR,100.11,total postings,"IT Infrastructure, Operations & Support"
2020-02-05,FR,100.83,new postings,"IT Infrastructure, Operations & Support"
2020-02-06,FR,100.06,total postings,"IT Infrastructure, Operations & Support"
2020-02-06,FR,99.82,new postings,"IT Infrastructure, Operations & Support"
2020-02-07,FR,99.91,total postings,"IT Infrastructure, Operations & Support"
2020-02-07,FR,98.61,new postings,"IT Infrastructure, Operations & Support"
2020-02-08,FR,99.96,total postings,"IT Infrastructure, Operations & Support"
2020-02-08,FR,98.49,new postings,"IT Infrastructure, Operations & Support"
2020-02-09,FR,99.9,total postings,"IT Infrastructure, Operations & Support"
2020-02-09,FR,97.7,new postings,"IT Infrastructure, Operations & Support"
2020-02-10,FR,99.77,total postings,"IT Infrastructure, Operations & Support"
2020-02-10,FR,97.43,new postings,"IT Infrastructure, Operations & Support"
2020-02-11,FR,99.86,total postings,"IT Infrastructure, Operations & Support"
2020-02-11,FR,99.39,new postings,"IT Infrastructure, Operations & Support"
2020-02-12,FR,100.35,total postings,"IT Infrastructure, Operations & Support"
2020-02-12,FR,103.38,new postings,"IT Infrastructure, Operations & Support"
2020-02-13,FR,101.0,total postings,"IT Infrastructure, Operations & Support"
2020-02-13,FR,108.92,new postings,"IT Infrastructure, Operations & Support"
2020-02-14,FR,101.99,total postings,"IT Infrastructure, Operations & Support"
2020-02-14,FR,115.66,new postings,"IT Infrastructure, Operations & Support"
2020-02-15,FR,102.82,total postings,"IT Infrastructure, Operations & Support"
2020-02-15,FR,121.74,new postings,"IT Infrastructure, Operations & Support"
2020-02-16,FR,103.7,total postings,"IT Infrastructure, Operations & Support"
2020-02-16,FR,128.54,new postings,"IT Infrastructure, Operations & Support"
2020-02-17,FR,104.4,total postings,"IT Infrastructure, Operations & Support"
2020-02-17,FR,135.58,new postings,"IT Infrastructure, Operations & Support"
2020-02-18,FR,104.54,total postings,"IT Infrastructure, Operations & Support"
2020-02-18,FR,136.95,new postings,"IT Infrastructure, Operations & Support"
2020-02-19,FR,104.29,total postings,"IT Infrastructure, Operations & Support"
2020-02-19,FR,133.65,new postings,"IT Infrastructure, Operations & Support"
2020-02-20,FR,104.29,total postings,"IT Infrastructure, Operations & Support"
