date,jobcountry,indeed_job_postings_index,variable,display_name
2020-03-25,DE,65.11,new postings,Data & Analytics
2020-03-25,DE,90.78,total postings,Data & Analytics
2020-03-26,DE,62.38,new postings,Data & Analytics
2020-03-26,DE,89.83,total postings,Data & Analytics
2020-03-27,DE,60.26,new postings,Data & Analytics
2020-03-27,DE,88.89,total postings,Data & Analytics
2020-03-28,DE,59.39,new postings,Data & Analytics
2020-03-28,DE,88.03,total postings,Data & Analytics
2020-03-29,DE,58.41,new postings,Data & Analytics
2020-03-29,DE,87.12,total postings,Data & Analytics
2020-03-30,DE,57.22,new postings,Data & Analytics
2020-03-30,DE,86.11,total postings,Data & Analytics
2020-03-31,DE,55.58,new postings,Data & Analytics
2020-03-31,DE,85.16,total postings,Data & Analytics
2020-04-01,DE,54.74,new postings,Data & Analytics
2020-04-01,DE,84.2,total postings,Data & Analytics
2020-04-02,DE,53.49,new postings,Data & Analytics
2020-04-02,DE,83.51,total postings,Data & Analytics
2020-04-03,DE,54.71,new postings,Data & Analytics
2020-04-03,DE,82.85,total postings,Data & Analytics
2020-04-04,DE,55.91,new postings,Data & Analytics
2020-04-04,DE,82.23,total postings,Data & Analytics
2020-04-05,DE,57.68,new postings,Data & Analytics
2020-04-05,DE,81.6,total postings,Data & Analytics
2020-04-06,DE,60.17,new postings,Data & Analytics
2020-04-06,DE,81.04,total postings,Data & Analytics
2020-04-07,DE,63.48,new postings,Data & Analytics
2020-04-07,DE,80.54,total postings,Data & Analytics
2020-04-08,DE,65.91,new postings,Data & Analytics
2020-04-08,DE,80.0,total postings,Data & Analytics
2020-04-09,DE,68.49,new postings,Data & Analytics
2020-04-09,DE,79.57,total postings,Data & Analytics
2020-04-10,DE,70.07,new postings,Data & Analytics
2020-04-10,DE,79.32,total postings,Data & Analytics
2020-04-11,DE,71.63,new postings,Data & Analytics
2020-04-11,DE,79.11,total postings,Data & Analytics
2020-04-12,DE,71.39,new postings,Data & Analytics
2020-04-12,DE,78.87,total postings,Data & Analytics
2020-04-13,DE,69.48,new postings,Data & Analytics
2020-04-13,DE,78.63,total postings,Data & Analytics
2020-04-14,DE,67.59,new postings,Data & Analytics
2020-04-14,DE,78.47,total postings,Data & Analytics
2020-04-15,DE,64.48,new postings,Data & Analytics
2020-04-15,DE,78.52,total postings,Data & Analytics
2020-04-16,DE,61.61,new postings,Data & Analytics
2020-04-16,DE,78.39,total postings,Data & Analytics
2020-04-17,DE,58.89,new postings,Data & Analytics
2020-04-17,DE,78.41,total postings,Data & Analytics
2020-04-18,DE,55.46,new postings,Data & Analytics
2020-04-18,DE,78.38,total postings,Data & Analytics
2020-04-19,DE,54.14,new postings,Data & Analytics
2020-04-19,DE,78.23,total postings,Data & Analytics
2020-04-20,DE,53.78,new postings,Data & Analytics
2020-04-20,DE,78.18,total postings,Data & Analytics
2020-04-21,DE,53.56,new postings,Data & Analytics
2020-04-21,DE,78.05,total postings,Data & Analytics
2020-04-22,DE,55.87,new postings,Data & Analytics
2020-04-22,DE,77.62,total postings,Data & Analytics
2020-04-23,DE,58.59,new postings,Data & Analytics
2020-04-23,DE,77.38,total postings,Data & Analytics
2020-04-24,DE,59.59,new postings,Data & Analytics
2020-04-24,DE,77.02,total postings,Data & Analytics
2020-04-25,DE,60.86,new postings,Data & Analytics
2020-04-25,DE,76.8,total postings,Data & Analytics
